date,Price of Medium Quality,MedQN,Total crimes per day,Total homicides per day,Total drug related crimes per day
2014-01-01,287.23,3644,1059,0,45
2014-02-01,287.69,3815,775,1,89
2014-03-01,287.38,3958,712,2,66
2014-04-01,286.74,4118,893,1,101
2014-05-01,285.96,4257,857,1,105
2014-06-01,285.11,4406,1006,4,74
2014-07-01,283.47,4537,986,0,89
2014-08-01,283.21,4725,1058,1,99
2014-09-01,283.33,4872,985,0,72
2014-10-01,282.85,5001,957,0,99
2014-11-01,283.0,5127,877,1,74
2014-12-01,283.11,5339,785,0,72
2014-01-02,287.25,3648,480,0,53
2014-02-02,287.78,3819,579,0,51
2014-03-02,287.33,3959,550,2,78
2014-04-02,286.7,4124,718,0,102
2014-05-02,286.04,4265,864,0,100
2014-06-02,285.08,4410,870,1,95
2014-07-02,283.38,4542,817,3,99
2014-09-02,283.33,4875,797,2,88
2014-10-02,282.96,5003,799,1,71
2014-11-02,283.02,5135,727,1,73
2014-12-02,283.12,5342,648,0,88
2014-01-03,287.32,3657,559,1,81
2014-02-03,287.79,3826,677,0,60
2014-03-03,287.36,3963,590,0,82
2014-04-03,286.72,4126,714,1,99
2014-05-03,286.11,4266,745,1,61
2014-06-03,285.25,4415,897,1,101
2014-07-03,283.54,4547,884,1,100
2014-08-03,283.14,4735,844,4,87
2014-09-03,283.34,4879,722,0,86
2014-10-03,283.02,5005,775,1,90
2014-11-03,282.97,5139,771,2,94
2014-12-03,283.01,5345,746,1,93
2014-01-04,287.31,3662,576,0,69
2014-02-04,287.72,3829,645,2,89
2014-03-04,287.36,3972,627,1,92
2014-04-04,286.71,4130,811,0,94
2014-05-04,285.98,4272,720,3,60
2014-06-04,285.2,4416,775,1,86
2014-07-04,283.61,4551,838,1,89
2014-08-04,283.29,4743,780,3,70
2014-09-04,283.27,4884,746,3,76
2014-10-04,283.04,5010,722,1,81
2014-11-04,283.18,5148,774,1,83
2014-12-04,282.97,5349,689,0,56
2014-01-05,287.3,3663,404,1,33
2014-02-05,287.71,3835,558,1,74
2014-03-05,287.3,3981,636,0,92
2014-04-05,286.77,4135,752,2,81
2014-05-05,286.21,4277,844,1,102
2014-06-05,285.3,4420,802,1,74
2014-07-05,283.35,4556,896,2,77
2014-08-05,283.27,4748,823,1,87
2014-09-05,283.27,4889,841,2,82
2014-10-05,283.05,5014,712,0,61
2014-11-05,283.07,5159,740,2,79
2014-12-05,282.9,5351,799,3,72
2014-01-06,287.41,3667,363,1,27
2014-02-06,287.78,3837,608,1,79
2014-03-06,287.35,3982,658,0,99
2014-04-06,286.63,4141,707,1,84
2014-05-06,286.33,4280,825,2,98
2014-06-06,285.25,4421,853,2,94
2014-07-06,283.25,4561,871,5,89
2014-08-06,283.3,4752,807,1,113
2014-09-06,283.23,4890,813,4,71
2014-10-06,283.16,5020,721,2,74
2014-11-06,283.22,5169,667,1,79
2014-12-06,282.97,5359,660,0,62
2014-01-07,287.61,3674,465,0,54
2014-02-07,287.8,3843,692,1,85
2014-03-07,287.43,3985,757,1,96
2014-04-07,286.55,4146,759,1,93
2014-05-07,286.28,4286,767,0,95
2014-06-07,285.18,4430,866,2,83
2014-07-07,283.39,4575,896,6,86
2014-08-07,283.21,4761,840,0,103
2014-09-07,283.27,4893,823,1,81
2014-10-07,283.21,5026,757,0,64
2014-11-07,283.2,5174,777,2,102
2014-12-07,282.99,5363,594,0,45
2014-01-08,287.63,3677,598,1,83
2014-02-08,287.73,3844,602,0,83
2014-03-08,287.53,3989,680,0,77
2014-04-08,286.61,4149,745,0,101
2014-05-08,286.27,4289,765,0,94
2014-06-08,285.14,4432,774,0,66
2014-07-08,283.42,4586,812,2,92
2014-08-08,283.27,4769,815,0,107
2014-09-08,283.17,4900,686,3,83
2014-10-08,283.22,5029,743,2,85
2014-11-08,283.22,5179,744,2,75
2014-12-08,283.01,5370,703,1,44
2014-01-09,287.58,3679,611,0,79
2014-02-09,287.68,3853,648,2,86
2014-03-09,287.33,3994,621,1,79
2014-04-09,286.53,4154,774,1,105
2014-05-09,286.35,4291,862,2,103
2014-06-09,285.14,4439,820,3,63
2014-07-09,283.29,4592,854,0,88
2014-08-09,283.27,4774,885,0,77
2014-09-09,283.27,4903,784,0,91
2014-10-09,283.28,5032,685,1,87
2014-11-09,283.3,5186,684,3,56
2014-12-09,282.86,5377,651,1,62
2014-01-10,287.52,3686,633,0,56
2014-02-10,287.73,3858,615,0,68
2014-03-10,287.17,4001,812,1,102
2014-04-10,286.32,4158,808,0,98
2014-05-10,286.25,4295,813,2,96
2014-06-10,285.13,4443,671,1,64
2014-07-10,283.3,4601,816,0,99
2014-08-10,283.17,4786,853,1,73
2014-09-10,283.35,4906,701,2,68
2014-10-10,283.21,5037,738,0,86
2014-11-10,283.29,5188,775,2,78
2014-12-10,282.79,5383,726,1,63
2014-01-11,287.51,3691,653,0,52
2014-02-11,287.76,3861,593,0,94
2014-03-11,287.02,4010,696,1,94
2014-04-11,286.27,4159,785,3,105
2014-05-11,286.19,4296,741,1,49
2014-06-11,285.22,4447,772,0,89
2014-07-11,283.16,4610,938,1,101
2014-08-11,283.19,4792,871,1,96
2014-09-11,283.22,4914,745,1,99
2014-10-11,283.37,5044,798,2,87
2014-11-11,283.34,5195,668,2,72
2014-12-11,282.8,5387,637,1,54
2014-01-12,287.54,3698,687,1,83
2014-02-12,287.64,3868,604,1,101
2014-03-12,287.11,4018,658,0,92
2014-04-12,286.3,4160,869,0,79
2014-05-12,286.06,4300,810,0,61
2014-06-12,285.23,4451,821,1,75
2014-07-12,283.15,4621,807,2,87
2014-08-12,283.18,4799,758,1,101
2014-09-12,283.32,4920,715,0,78
2014-10-12,283.22,5049,690,1,59
2014-11-12,283.37,5197,592,0,71
2014-12-12,282.89,5395,724,2,58
2014-01-13,287.4,3703,759,0,100
2014-02-13,287.65,3876,642,1,88
2014-03-13,287.15,4024,716,0,99
2014-04-13,286.22,4164,679,2,54
2014-05-13,286.12,4307,813,0,86
2014-06-13,285.34,4454,934,0,88
2014-07-13,283.02,4625,849,1,88
2014-08-13,283.14,4804,852,1,91
2014-09-13,283.29,4925,684,1,65
2014-10-13,283.08,5053,703,1,81
2014-11-13,283.34,5203,657,1,82
2014-12-13,282.86,5402,767,1,62
2014-01-14,287.44,3708,685,0,76
2014-02-14,287.67,3880,691,1,81
2014-03-14,287.08,4030,823,1,80
2014-04-14,286.17,4168,684,1,61
2014-05-14,286.11,4316,787,1,85
2014-06-14,285.28,4458,838,1,77
2014-07-14,282.95,4629,805,2,81
2014-08-14,283.1,4809,792,1,84
2014-09-14,283.22,4927,759,2,60
2014-10-14,283.17,5057,726,1,81
2014-11-14,283.29,5205,750,0,91
2014-12-14,282.91,5409,709,0,61
2014-01-15,287.24,3714,744,2,96
2014-02-15,287.61,3881,638,1,76
2014-03-15,286.98,4034,842,2,71
2014-04-15,286.22,4175,742,1,87
2014-05-15,286.06,4321,752,0,96
2014-06-15,285.29,4462,880,2,53
2014-07-15,283.04,4634,813,0,101
2014-08-15,283.19,4812,861,3,95
2014-09-15,283.21,4929,733,1,62
2014-10-15,282.98,5063,769,0,78
2014-11-15,283.36,5212,749,1,81
2014-12-15,282.84,5418,724,2,48
2014-01-16,287.22,3720,688,1,83
2014-02-16,287.41,3889,585,0,74
2014-03-16,286.86,4036,636,0,62
2014-04-16,286.35,4181,771,0,83
2014-05-16,286.01,4325,838,1,113
2014-06-16,285.21,4467,870,0,80
2014-07-16,283.05,4640,841,0,82
2014-08-16,283.18,4816,853,1,77
2014-09-16,283.15,4935,746,0,73
2014-10-16,282.93,5066,745,2,79
2014-11-16,283.4,5219,675,4,62
2014-12-16,282.73,5429,657,2,54
2014-01-17,287.24,3725,745,2,82
2014-02-17,287.37,3894,596,0,70
2014-03-17,286.84,4039,703,0,84
2014-04-17,286.23,4184,834,0,150
2014-05-17,285.98,4329,802,2,85
2014-06-17,285.14,4472,885,2,88
2014-07-17,282.97,4643,806,0,72
2014-08-17,283.23,4824,862,4,65
2014-09-17,283.11,4939,793,2,75
2014-10-17,282.9,5068,865,2,93
2014-11-17,283.22,5227,623,0,65
2014-12-17,282.78,5439,735,5,62
2014-01-18,287.31,3732,663,1,89
2014-02-18,287.45,3899,628,0,93
2014-03-18,286.77,4043,817,2,91
2014-04-18,286.16,4189,785,0,82
2014-05-18,285.96,4331,859,2,89
2014-06-18,285.1,4476,769,0,65
2014-07-18,282.89,4649,874,0,91
2014-08-18,283.2,4832,814,0,83
2014-09-18,283.11,4943,864,2,96
2014-10-18,282.94,5069,835,2,77
2014-11-18,283.16,5240,622,2,69
2014-12-18,282.78,5443,664,0,61
2014-01-19,287.26,3739,647,2,67
2014-02-19,287.55,3904,705,0,113
2014-03-19,286.8,4047,760,1,88
2014-04-19,286.15,4191,752,6,89
2014-05-19,285.85,4339,787,2,84
2014-06-19,285.0,4481,821,1,76
2014-07-19,282.96,4652,868,4,88
2014-08-19,283.15,4835,773,4,83
2014-09-19,283.23,4949,875,1,79
2014-10-19,282.94,5070,743,1,62
2014-11-19,283.06,5248,632,2,64
2014-12-19,282.68,5449,765,1,86
2014-01-20,287.4,3746,694,0,72
2014-02-20,287.54,3907,647,1,77
2014-03-20,286.86,4057,777,1,105
2014-04-20,286.01,4196,689,3,70
2014-05-20,285.54,4345,763,1,59
2014-06-20,284.94,4484,885,0,88
2014-07-20,282.79,4664,842,1,73
2014-08-20,283.12,4836,834,1,77
2014-09-20,283.28,4951,846,4,84
2014-10-20,283.01,5076,753,0,86
2014-11-20,282.98,5257,631,0,59
2014-12-20,282.69,5453,735,0,69
2014-01-21,287.38,3754,589,1,75
2014-02-21,287.57,3910,718,2,102
2014-03-21,286.94,4065,797,3,84
2014-04-21,285.99,4201,726,0,78
2014-05-21,285.49,4346,834,1,83
2014-06-21,284.92,4486,862,2,97
2014-07-21,282.82,4668,808,1,79
2014-08-21,283.18,4837,773,1,82
2014-09-21,283.39,4958,790,0,92
2014-10-21,283.06,5077,776,1,72
2014-11-21,283.01,5266,727,0,74
2014-12-21,282.64,5457,647,3,52
2014-01-22,287.49,3761,622,2,73
2014-02-22,287.65,3914,645,2,81
2014-03-22,286.94,4067,736,0,83
2014-04-22,285.95,4211,733,0,88
2014-05-22,285.5,4348,788,3,82
2014-06-22,284.96,4490,867,4,70
2014-07-22,282.8,4670,829,1,84
2014-08-22,283.18,4838,813,1,95
2014-09-22,283.32,4963,767,2,75
2014-10-22,283.09,5080,722,1,79
2014-11-22,282.94,5273,728,3,69
2014-12-22,282.7,5468,645,1,58
2014-01-23,287.65,3768,622,0,69
2014-02-23,287.67,3917,631,0,95
2014-03-23,286.83,4071,646,0,79
2014-04-23,285.91,4217,734,1,72
2014-05-23,285.47,4353,807,1,76
2014-06-23,284.96,4494,828,1,89
2014-07-23,282.82,4676,860,1,99
2014-08-23,283.19,4841,821,0,70
2014-09-23,283.26,4964,834,1,91
2014-10-23,283.07,5082,774,1,82
2014-11-23,283.15,5283,685,0,61
2014-12-23,282.75,5473,671,5,60
2014-01-24,287.71,3771,685,0,84
2014-02-24,287.77,3923,632,0,88
2014-03-24,286.78,4074,696,1,86
2014-04-24,285.98,4223,769,2,69
2014-05-24,285.4,4355,757,2,85
2014-06-24,284.93,4495,858,0,89
2014-07-24,282.96,4682,852,1,90
2014-08-24,283.32,4847,856,5,75
2014-09-24,283.31,4970,834,0,93
2014-10-24,283.13,5087,878,2,92
2014-11-24,283.11,5291,587,0,43
2014-12-24,282.77,5477,567,0,19
2014-01-25,287.66,3774,677,2,86
2014-02-25,287.62,3930,649,0,95
2014-03-25,286.69,4079,699,0,84
2014-04-25,285.97,4228,845,0,94
2014-05-25,285.4,4359,824,1,73
2014-06-25,284.9,4500,853,1,98
2014-07-25,282.99,4685,922,1,97
2014-08-25,283.27,4849,777,2,63
2014-09-25,283.14,4976,748,0,84
2014-10-25,283.12,5090,801,1,66
2014-11-25,283.07,5299,660,0,60
2014-12-25,282.8,5483,438,1,17
2014-01-26,287.6,3776,593,1,63
2014-02-26,287.56,3932,662,0,96
2014-03-26,286.73,4087,724,0,101
2014-04-26,286.01,4233,777,4,76
2014-05-26,285.17,4364,776,3,89
2014-06-26,283.43,4505,820,2,80
2014-07-26,282.91,4690,875,0,77
2014-08-26,283.24,4853,799,1,76
2014-09-26,283.15,4979,876,2,80
2014-10-26,283.05,5093,749,2,53
2014-11-26,283.27,5305,674,1,71
2014-12-26,282.86,5489,623,2,73
2014-01-27,287.65,3782,545,0,55
2014-02-27,287.47,3941,612,1,82
2014-03-27,286.57,4095,719,0,81
2014-04-27,285.94,4237,672,2,78
2014-05-27,285.26,4371,760,1,82
2014-06-27,283.39,4515,892,2,101
2014-07-27,283.01,4695,890,0,81
2014-08-27,283.18,4855,781,3,71
2014-09-27,282.95,4985,890,2,71
2014-10-27,283.1,5100,810,3,56
2014-11-27,283.34,5311,452,0,20
2014-12-27,282.88,5494,716,1,79
2014-01-28,287.4,3794,592,0,89
2014-02-28,287.37,3951,697,3,84
2014-03-28,286.63,4099,783,1,87
2014-04-28,285.93,4243,721,3,78
2014-05-28,285.38,4379,801,0,91
2014-06-28,283.36,4521,854,1,81
2014-07-28,283.04,4696,873,0,86
2014-08-28,283.17,4857,735,0,57
2014-09-28,282.95,4985,837,5,47
2014-10-28,282.95,5105,769,1,78
2014-11-28,283.26,5316,599,2,63
2014-12-28,282.79,5501,631,4,62
2014-01-29,287.41,3800,728,1,89
2014-03-29,286.73,4105,769,0,89
2014-04-29,285.84,4249,787,1,81
2014-05-29,285.58,4387,771,4,82
2014-06-29,283.35,4525,905,0,91
2014-07-29,283.2,4699,800,1,93
2014-08-29,283.19,4858,882,1,107
2014-09-29,282.98,4991,797,1,82
2014-10-29,282.97,5108,792,2,68
2014-11-29,283.24,5324,703,2,71
2014-12-29,282.65,5507,677,0,60
2014-01-30,287.48,3804,750,0,96
2014-03-30,286.69,4108,737,0,75
2014-04-30,285.96,4255,796,1,86
2014-05-30,285.41,4395,825,1,80
2014-06-30,283.41,4527,797,1,60
2014-07-30,283.34,4707,791,0,100
2014-08-30,283.15,4859,867,2,85
2014-09-30,282.95,4995,776,2,84
2014-10-30,282.9,5113,775,0,74
2014-11-30,283.15,5330,722,1,75
2014-12-30,282.56,5513,570,0,60
2014-01-31,287.67,3808,743,0,64
2014-03-31,286.63,4113,735,2,58
2014-05-31,285.24,4400,848,2,82
2014-07-31,283.29,4712,857,1,92
2014-08-31,283.15,4867,829,2,76
2014-10-31,283.02,5118,824,2,68
2014-12-31,282.67,5523,5,0,0
